time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448100000	20.3324	12.3723	4.95096	1.57941	0.523633	lidar	0.967689	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2795	12.6125	4.90667	1.6453	0.608533	radar	2.73531	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3071	12.8462	4.8809	1.65376	0.582179	lidar	2.11653	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2965	13.0763	4.85484	1.67684	0.576125	radar	2.13201	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2631	13.2839	4.79562	1.70543	0.576832	lidar	0.980665	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2259	13.519	4.80334	1.7272	0.55426	radar	1.34333	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2051	13.779	4.84	1.74725	0.54442	lidar	1.401	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1499	14.0053	4.81519	1.78448	0.568339	radar	0.770768	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0934	14.2624	4.85735	1.81388	0.56895	lidar	0.35669	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0217	14.4918	4.85541	1.8436	0.565344	radar	1.34939	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9103	14.7502	4.92262	1.8888	0.584769	lidar	1.03739	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8457	14.9674	4.89667	1.89976	0.540271	radar	3.435	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.821	15.1796	4.83117	1.90462	0.514978	lidar	2.29535	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6873	15.3865	4.78786	1.99441	0.67144	radar	7.50941	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6639	15.5653	4.66942	1.99952	0.639168	lidar	3.65576	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5751	15.7668	4.6485	2.02156	0.616189	radar	1.37226	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4689	15.9824	4.66413	2.05224	0.615765	lidar	0.0445594	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3712	16.1891	4.66403	2.06081	0.55784	radar	1.9084	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.263	16.3656	4.61364	2.0904	0.560759	lidar	0.527722	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1478	16.5594	4.60355	2.11991	0.565787	radar	0.248176	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0135	16.7756	4.65011	2.14927	0.566289	lidar	0.248416	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8553	16.9669	4.66757	2.21839	0.670677	radar	6.35353	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6717	17.2122	4.80639	2.25569	0.67263	lidar	2.01303	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5749	17.4166	4.77224	2.2235	0.51761	radar	6.1807	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3557	17.6158	4.86648	2.2715	0.541116	lidar	3.8063	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2188	17.809	4.8564	2.2685	0.466678	radar	1.95679	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0917	17.9946	4.82404	2.2815	0.455491	lidar	0.899182	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9153	18.1461	4.79774	2.33245	0.520319	radar	2.34165	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7915	18.2836	4.69565	2.35238	0.51478	lidar	1.04318	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6606	18.4622	4.67079	2.35822	0.481837	radar	6.47225	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4615	18.6506	4.74719	2.38563	0.48459	lidar	0.559718	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2817	18.789	4.7242	2.42562	0.520087	radar	1.87752	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1236	18.9238	4.67107	2.44985	0.518763	lidar	0.266628	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9563	19.0943	4.68281	2.46097	0.49293	radar	2.96318	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7377	19.2119	4.69357	2.50267	0.512502	lidar	2.78602	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5458	19.3661	4.72081	2.52886	0.522274	radar	3.2671	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.314	19.5335	4.81653	2.55444	0.519936	lidar	0.855284	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0918	19.6144	4.7896	2.61089	0.575997	radar	10.1133	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.884	19.7597	4.8217	2.63129	0.565709	lidar	0.749894	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6978	19.8843	4.7763	2.62965	0.490328	radar	3.19822	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4616	20.0426	4.86674	2.64564	0.478487	lidar	1.2291	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2452	20.188	4.90216	2.65559	0.454605	radar	5.52021	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0614	20.3176	4.86871	2.66587	0.441065	lidar	1.83093	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8297	20.3991	4.86775	2.7079	0.480003	radar	2.26574	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6151	20.518	4.87602	2.7241	0.470999	lidar	0.57828	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3752	20.6061	4.90442	2.76449	0.512617	radar	1.27813	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1291	20.6787	4.91826	2.798	0.521388	lidar	0.710185	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
